Common Name,Scientific Name,Botanical Name,Description,Uses,Origin,Availability in India,Climate,Soil,Additional Info
Moringa Oleifera (Drumstick),Moringa oleifera,Moringa oleifera,Fast-growing tree with edible leaves and pods.,"Nutritional supplement, traditional medicine, and water purification.",Indian subcontinent.,Commonly grown in South India.,Tropical and subtropical.,Sandy loam soils with good drainage.,Known as the 'Miracle Tree'.
Muntingia Calabura (Jamaica Cherry-Gasagase),Muntingia calabura,Muntingia calabura,"Small, fast-growing tree with edible red fruits.",Fruits are consumed fresh; bark and leaves used in traditional medicine.,Central and South America.,"Found in tropical regions, especially in gardens and along roadsides.",Tropical and subtropical.,"Grows well in sandy, well-drained soils.",Known for its rapid growth and sweet fruits.
Murraya Koenigii (Curry),Murraya koenigii,Murraya koenigii,Small tree with aromatic leaves used in Indian cuisine.,"Culinary spice, traditional medicine for digestive issues and diabetes.",Indian subcontinent.,Widely grown in South India and home gardens.,Tropical and subtropical.,"Loamy, well-drained soils.",Highly valued for its flavor and medicinal properties.
Nerium Oleander (Oleander),Nerium oleander,Nerium oleander,"Shrub or small tree with showy, fragrant flowers.","Ornamental plant; toxic, used cautiously in traditional medicine.",Mediterranean region.,Grown as an ornamental plant in gardens.,Tropical and subtropical.,Well-drained sandy or loamy soils.,Toxic if ingested; handle with care.
Nyctanthes Arbor-tristis (Parijata),Nyctanthes arbor-tristis,Nyctanthes arbor-tristis,"Small, ornamental tree with fragrant white flowers.","Religious offerings, traditional medicine for fever and skin ailments.",South Asia and Southeast Asia.,Common in gardens and near temples.,Tropical and subtropical.,"Well-drained, fertile soils.",Also known as the 'Night Jasmine'.
Ocimum Tenuiflorum (Tulsi),Ocimum tenuiflorum,Ocimum tenuiflorum,Sacred plant in India with aromatic leaves.,"Religious, traditional medicine for respiratory and immune system health.",Indian subcontinent.,Grown widely in households and temples.,Tropical and subtropical.,"Loamy, well-drained soils with organic matter.",Revered in Hindu culture.
Piper Betle (Betel),Piper betle,Piper betle,Climbing vine with glossy heart-shaped leaves.,"Chewing leaves, traditional medicine for digestion and oral health.",Southeast Asia.,"Widely cultivated in West Bengal, Assam, and Odisha.",Tropical and humid climates.,"Rich, well-drained loamy soils.",Used in cultural rituals and ceremonies.
Plectranthus Amboinicus (Mexican Mint),Plectranthus amboinicus,Plectranthus amboinicus,"Aromatic, fleshy herb with soft leaves.","Culinary herb, cough relief, and digestive aid.",Africa and India.,Grown in home gardens across India.,Tropical and subtropical.,Well-drained soils with good organic content.,Commonly used in herbal teas and remedies.
Pongamia Pinnata (Indian Beech),Pongamia pinnata,Pongamia pinnata,Medium-sized tree with compound leaves and fragrant flowers.,"Oil production, biodiesel, and traditional medicine.",Indian subcontinent.,Found along roadsides and in rural areas.,Tropical and subtropical.,Tolerates saline and alkaline soils.,Used for soil reclamation.
Psidium Guajava (Guava),Psidium guajava,Psidium guajava,Small tree with edible fruits rich in vitamin C.,"Fruits for consumption, leaves in traditional medicine.",Central America.,"Grown widely in Uttar Pradesh, Bihar, and Maharashtra.",Tropical and subtropical.,Well-drained soils with good fertility.,Known for its high nutritional value.
Punica Granatum (Pomegranate),Punica granatum,Punica granatum,"Shrub or small tree with red, edible fruits.","Fruits for juices, seeds for traditional medicine.",Iran and northern India.,Widely grown in Maharashtra and Karnataka.,Semi-arid and subtropical.,"Loamy, well-drained soils.",Rich in antioxidants.
Santalum Album (Sandalwood),Santalum album,Santalum album,Small evergreen tree known for its aromatic heartwood.,"Essential oils, perfumes, and traditional medicine.",Indian subcontinent.,"Grown in Karnataka, Tamil Nadu, and Kerala.",Tropical and subtropical.,Well-drained red or lateritic soils.,Highly valued for its fragrance and medicinal properties.
Syzygium Cumini (Jamun),Syzygium cumini,Syzygium cumini,"Medium-sized tree with purple, berry-like edible fruits.",Fruits are consumed fresh; leaves and bark are used in diabetes treatment.,Indian subcontinent.,Commonly found in forests and urban gardens.,Tropical and subtropical.,"Moist, well-drained soils.",Rich in antioxidants and used in Ayurveda.
Syzygium Jambos (Rose Apple),Syzygium jambos,Syzygium jambos,Small tree with fragrant flowers and rose-flavored fruits.,"Eaten fresh, used in desserts, and medicinal applications.",Southeast Asia.,Grown in home gardens and tropical forests.,Tropical and subtropical.,"Loamy, well-drained soils.",Fruits are rich in vitamin C and flavonoids.
Tabernaemontana Divaricata (Crape Jasmine),Tabernaemontana divaricata,Tabernaemontana divaricata,"Evergreen shrub with fragrant, white flowers.","Ornamental plant, traditional medicine for wound healing.",Indian subcontinent and Southeast Asia.,Widely grown in gardens and parks.,Tropical and subtropical.,"Well-drained, fertile soils.",Flowers are used in religious ceremonies.
Trigonella Foenum-graecum (Fenugreek),Trigonella foenum-graecum,Trigonella foenum-graecum,Annual herb with small leaves and yellow flowers.,"Culinary spice, traditional medicine for digestion and diabetes.",Mediterranean region and South Asia.,"Cultivated in Rajasthan, Gujarat, and Madhya Pradesh.",Semi-arid and temperate.,Well-drained sandy loam soils.,Seeds are rich in fiber and proteins.
